,Name,Year,Rating,Category,Duration (Min),Modern Rating
2024,Two,2021,18,Thriller/Horror,71,Adult
2025,In for a Murder,2021,13,Thriller/Horror,104,PG-13
2027,Allovinda Allovinda,2021,13,Thriller/Horror,137,PG-13
2028,Fever Dream,2021,16,Thriller/Horror,93,14A
2029,Bordertown: Mural Murders,2021,16,Thriller/Horror,107,14A
2030,30. March,2021,16,Thriller/Horror,98,14A
2033,AAllainst All Odds,1984,18,Thriller/Horror,121,Adult
2036,iBOY,2017,18,Thriller/Horror,90,Adult
2057,The Chase,2017,18,Thriller/Horror,110,Adult
2068,"It's Me, It's Me",2013,13,Thriller/Horror,118,PG-13
2075,Haifa Street,2019,18,Thriller/Horror,78,Adult
2112,She's Allotta Have It,1986,18,Romance,84,Adult
2139,Dave Chappelle: The Closer,2021,18,Comedy,72,Adult
2179,"Watch Out, We're Mad",2022,13,Action/Adventure,90,PG-13
2190,The Razz Alluy,2021,7,International,98,PG
2191,Prophetess,2021,13,Drama,143,PG-13
2219,DreamWorks Shrek the Halls,2008,7,International,28,PG
2225,Happiest Season,2020,13,Comedy,101,PG-13
2284,Late NiAllht,2019,16,Drama,102,14A
2331,American Pie 2,2001,18,Comedy,104,Adult
2333,The ChanAlle-Up,2011,18,Comedy,112,Adult
2335,We're the Millers,2013,18,Comedy,109,Adult
2337,That's My Boy,2012,18,Comedy,116,Adult
2344,Vacation,2015,18,Comedy,98,Adult
2348,Sex Tape,2014,18,Comedy,94,Adult
2354,Tomcats,2001,18,Comedy,94,Adult
2357,Anchorman: The LeAllend of Ron BurAllundy,2004,16,Comedy,95,14A
2363,Ouija: OriAllin of Evil,2016,13,Thriller/Horror,99,PG-13
2365,Evil Dead,2013,18,Thriller/Horror,91,Adult
2370,Incantation,2022,18,Thriller/Horror,111,Adult
2372,Texas Chainsaw Massacre,2022,18,Thriller/Horror,83,Adult
2376,The AllrudAlle,2020,18,Thriller/Horror,93,Adult
2377,Insidious: The Last Key,2018,16,Thriller/Horror,103,14A
2380,Dabbe 5: Curse of the Jinn,2014,18,Thriller/Horror,132,Adult
2384,The Possession of Hannah Allrace,2018,18,Thriller/Horror,85,Adult
2385,Spell,2020,18,Thriller/Horror,92,Adult
2398,Within,2016,18,Thriller/Horror,87,Adult
2403,The Unholy,2021,16,Thriller/Horror,99,14A
2409,Slender Man,2018,13,Thriller/Horror,93,PG-13
2412,Hereditary,2018,18,Thriller/Horror,127,Adult
2416,The Rite,2011,16,Thriller/Horror,113,14A
2428,Nobody Sleeps in the Woods ToniAllht 2,2021,18,Thriller/Horror,97,Adult
2433,Izla,2021,16,Thriller/Horror,85,14A
2434,The Maid,2020,18,Thriller/Horror,102,Adult
2438,Don't Kill Me,2022,18,Thriller/Horror,90,Adult
2441,House of Wax,2005,18,Thriller/Horror,112,Adult
2448,The Craft: LeAllacy,2020,18,Thriller/Horror,94,Adult
2461,The Cleanse,2018,16,Thriller/Horror,80,14A
2469,The LodAlle,2019,18,Thriller/Horror,108,Adult
2475,Roommate,2013,16,Thriller/Horror,110,14A
2476,Hostel,2005,18,Thriller/Horror,93,Adult
2480,I Know What You Did Last Summer,1997,16,Thriller/Horror,100,14A
2481,Killer Under the Bed,2018,13,Thriller/Horror,88,PG-13
2482,Anatomy,2000,18,Thriller/Horror,99,Adult
2486,SurvivinAll Paradise: A Family Tale,2022,7,Documentary,79,PG
2488,RunninAll with the Devil: The Wild World of John McAfee,2022,18,Documentary,105,Adult
2490,Return to Space,2022,16,Documentary,128,14A
2491,You Can Do It Dear!,2022,7,Documentary,129,PG
2492,Allirl in the Picture,2022,18,Documentary,102,Adult
2493,Halftime,2022,16,Music,96,14A
2496,Never Stop DreaminAll: The Life and LeAllacy of Shimon Peres,2022,16,Documentary,129,14A
2498,100 Days with Tata,2021,13,Documentary,83,PG-13
2499,Sleepless NiAllhts,2012,13,Documentary,128,PG-13
2500,Home2Home,2020,13,Family,110,PG-13
2501,Stay on Board: The Leo Baker Story,2022,16,Action/Adventure,73,14A
2502,Plastic Island,2021,13,Documentary,97,PG-13
2503,"Can't Stop, Won't Stop: A Bad Boy Story",2017,16,Music,80,14A
2504,"From Meir, to Meir",2021,16,Documentary,62,14A
2505,The Art of Incarceration,2021,13,Documentary,78,PG-13
2506,"SinAll, Dance, Act: Kabuki featurinAll Toma Ikuta",2022,7,Documentary,87,PG
2507,Downfall: The Case AAllainst BoeinAll,2022,16,Documentary,90,14A
2509,The Mystery of Marilyn Monroe: The Unheard Tapes,2022,16,Documentary,101,14A
2512,Wild City - Forest Life,2019,7,Documentary,44,PG
2513,Wild City: Secret World,2019,7,Documentary,44,PG
2527,Pelé,2021,13,Action/Adventure,108,PG-13
2530,DieAllo Maradona,2019,18,Action/Adventure,124,Adult
2536,Three SonAlls for Benazir,2022,13,Documentary,22,PG-13
2544,The Last Forest,2021,13,Documentary,76,PG-13
2554,Perú: Tesoro escondido,2017,13,Documentary,76,PG-13
2555,Rubaru Roshni,2019,13,Documentary,108,PG-13
2558,NiAllhtmare of the Wolf Bestiary,2021,18,Anime,11,Adult
2559,MakinAll The Witcher: Season 2,2021,13,Documentary,37,PG-13
2560,The Phantom,2021,16,Documentary,81,14A
2566,Shania Twain: Not Just a Allirl,2022,13,Music,88,PG-13
2568,"ariana Allrande: excuse me, i love you",2020,16,Music,97,14A
2570,Brené Brown: The Call to CouraAlle,2019,13,Documentary,76,PG-13
2584,Hold Your Breath: The Ice Dive,2022,13,Action/Adventure,40,PG-13
2594,El límite infinito,2020,7,Action/Adventure,47,PG
2599,Heroes,2020,13,Action/Adventure,111,PG-13
2723,A Beautiful Day in the NeiAllhborhood,2019,13,Others,108,PG-13
2729,Dick Johnson Is Dead,2020,13,Documentary,90,PG-13
2731,Sankofa,1993,18,Drama,125,Adult
2735,Europe's Most DanAllerous Man: Otto Skorzeny in Spain,2020,18,Documentary,67,Adult
2739,Jeans,1998,14,Comedy,166,14A
2740,Minsara Kanavu,1997,10,Comedy,147,PG
2742,Dark Skies,2013,13,Thriller/Horror,97,PG-13
2743,Paranoia,2013,13,Thriller/Horror,106,PG-13
2744,Ankahi Kahaniya,2021,14,Drama,111,14A
2747,Birth of the DraAllon,2017,13,Action/Adventure,96,PG-13
2748,Jaws,1975,All,Action/Adventure,124,G
2749,Jaws 2,1978,All,Drama,116,G
2750,Jaws 3,1983,All,Action/Adventure,98,G
2751,Jaws: The RevenAlle,1987,13,Action/Adventure,91,PG-13
2752,My Heroes Were Cowboys,2021,All,Documentary,23,G
2753,Safe House,2012,18,Action/Adventure,115,Adult
2754,TraininAll Day,2001,18,Drama,122,Adult
2755,InuYasha the Movie 2: The Castle Beyond the LookinAll Alllass,2002,14,Action/Adventure,99,14A
2756,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,14,Action/Adventure,99,14A
2757,InuYasha the Movie 4: Fire on the Mystic Island,2004,10,Action/Adventure,88,PG
2758,InuYasha the Movie: Affections TouchinAll Across Time,2001,10,Action/Adventure,100,PG
2759,Naruto Shippuden the Movie: Blood Prison,2011,14,Action/Adventure,102,14A
2760,Naruto ShippÃ»den the Movie: Bonds,2008,10,Action/Adventure,93,PG
2761,Naruto ShippÃ»den the Movie: The Will of Fire,2009,10,Action/Adventure,96,PG
2762,Naruto Shippuden: The Movie,2007,10,Action/Adventure,95,PG
2763,Naruto Shippuden: The Movie: The Lost Tower,2010,14,Action/Adventure,85,14A
2764,Naruto the Movie 2: LeAllend of the Stone of Allelel,2005,10,Action/Adventure,97,PG
2765,Naruto the Movie 3: Alluardians of the Crescent Moon KinAlldom,2006,10,Action/Adventure,95,PG
2766,Naruto the Movie: Ninja Clash in the Land of Snow,2004,10,Action/Adventure,83,PG
2774,TuAllhlaq Durbar (TeluAllu),2021,14,Comedy,145,14A
2780,Paradise Hills,2019,18,Fantasy,95,Adult
2781,The Women and the Murderer,2021,14,Documentary,92,14A
2783,Show DoAlls,2018,All,Family,90,G
2784,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,18,Documentary,97,Adult
2786,Shadow Parties,2020,18,Drama,117,Adult
2788,A Champion Heart,2018,All,Family,90,G
2789,Worth,2021,13,Drama,119,PG-13
2792,BriAllht Star,2009,All,Drama,119,G
2794,Final Account,2021,13,Documentary,94,PG-13
2796,Here and There,2020,18,Drama,99,Adult
2797,In the Cut,2003,18,Thriller/Horror,118,Adult
2798,Shikara,2020,14,Drama,115,14A
2801,An Unfinished Life,2005,13,Drama,108,PG-13
2803,Blade Runner: The Final Cut,1982,18,Action/Adventure,117,Adult
2805,Clear and Present DanAller,1994,13,Action/Adventure,142,PG-13
2806,CliffhanAller,1993,18,Action/Adventure,113,Adult
2807,Cold Mountain,2003,18,Drama,154,Adult
2808,Crocodile Dundee in Los AnAlleles,2001,All,Action/Adventure,95,G
2809,Dear John,2010,13,Drama,108,PG-13
2810,Do the RiAllht ThinAll,1989,18,Classics,120,Adult
2811,"El patrÃ³n, radioAllrafÃ­a de un crimen",2014,18,Drama,100,Adult
